Date,Revenue,CostOfGoodsSold,OperatingExpenses,Assets,Liabilities,CashInflow,CashOutflow
2023-01-01,120000,60000,20000,500000,200000,130000,80000
2023-02-01,140000,65000,22000,510000,205000,145000,85000
2023-03-01,135000,62000,21000,520000,210000,140000,82000
2023-04-01,150000,70000,23000,530000,215000,155000,88000
2023-05-01,165000,75000,25000,540000,220000,170000,90000
2023-06-01,180000,82000,27000,550000,225000,185000,95000
2023-07-01,175000,80000,26000,560000,230000,180000,92000
2023-08-01,190000,85000,28000,570000,235000,195000,98000
2023-09-01,200000,90000,30000,580000,240000,205000,100000
2023-10-01,210000,95000,32000,590000,245000,215000,105000
2023-11-01,220000,100000,33000,600000,250000,225000,110000
2023-12-01,240000,110000,35000,620000,255000,245000,120000
